id,name,category,available_sizes,fit,fabric,sleeve_length,color_or_print,occasion,neckline,length,pant_type,price
T001,Sun-Dapple Flutter Blouse,top,"XS,S,M,L,XL",Relaxed,Linen,Short Flutter Sleeves,Pastel yellow,,,,,72
T002,Midnight Ripple Crop,top,"XS,L,XL",Stretch to fit,Silk,Cropped,Deep blue,,,,,98
T003,Botanical Breeze Button-Up,top,"XS,S,M,L,XL",Relaxed,Cotton,Long sleeves with button cuffs,Floral print,,,,,65
T004,Vivid Verse Tank,top,"XS,S,M,L,XL",Body hugging,Rayon,Sleeveless,Red,,,,,48
T005,Satin Skyline Wrap Top,top,"XS,S,M,L,XL",Tailored,Satin,Full sleeves,Off-white,,,,,110
T006,Cloud-Soft Knit Tee,top,"XS,S,M,L,XL",Relaxed,Modal jersey,Short sleeves,Pastel pink,,,,,42
T007,Aqua Arc Peplum,top,"S,M,L,XL",Stretch to fit,Crepe,Quarter sleeves,Aqua blue,,,,,88
T008,Wild Meadow Square-Neck,top,"XS,S,M,L,XL",Body hugging,Cotton,Straps,Green floral,,,,,55
T009,Urban Drift Shirt,top,"XS,S,M,L,XL",Relaxed,Tencel,Long sleeves,Charcoal,,,,,75
T010,Radiant Ripple Halter,top,"XS,S,M,L,XL",Body hugging,Silk,Sleeveless,Pastel coral,,,,,90
D001,Sweetheart Serenity Maxi,dress,"XS,S,M,L,XL",Flowy,Linen,Spaghetti straps,Dusty rose,Party,Sweetheart,,,140
D002,Ripple Linen Mini,dress,"XS,S,M,L,XL",Relaxed,Linen,Sleeveless,Seafoam green,Vacation,Square neck,,,95
D003,Midnight Mosaic Midi,dress,"XS,S,M,L,XL",Body hugging,Silk,Full sleeves,Multicolor mosaic print,Party,V neck,,,185
D004,Meadow Flutter Wrap,dress,"XS,S,M,L,XL",Relaxed,Rayon,Short flutter sleeves,Pastel floral,Everyday,Boat neck,,,110
D005,Storm Skyline Slip,dress,"XS,S,M,L,XL",Bodycon,Satin,Spaghetti straps,Storm grey,Evening,Square neck,,,160
D006,Cobalt Canyon Tube Midi,dress,"XS,S,M,L,XL",Body hugging,Crepe,Tube,Cobalt blue,Party,Tubetop,,,130
D007,Breeze Blush Balloon,dress,"XS,S,M,L,XL",Flowy,Cotton,Balloon sleeves,Blush pink,Everyday,Sweetheart,,,120
D008,Sunbeam Tiered Halter,dress,"XS,S,M,L,XL",Flowy,Organic cotton,Halter,Sunflower yellow,Vacation,Halter,,,105
D009,Tidal Texture Tie-Waist,dress,"XS,S,M,L,XL",Tailored,Tencel,Quarter sleeves,Aqua wave print,Work,Square neck,,,145
D010,Galaxy Spark Midi,dress,"XS,S,M,L,XL",Body hugging,Sequined mesh,Long sleeves with button cuffs,Black iridescent,Party,V neck,,,210
D011,Orchid Oasis Midi,dress,"XS,S,M,L,XL",Relaxed,Viscose,Bishop sleeves,Orchid purple,Vocation,Boat neck,,,128
D012,Amber Dune Slip,dress,"XS,S,M,L,XL",Body hugging,Satin,Sleeveless,Amber gold,Evening,Cowl neck,,,175
D013,Petal Prism Wrap Maxi,dress,"XS,S,M",Flowy,Chiffon,Short flutter sleeves,Watercolor petals,Party,Sweetheart,,,155
D014,Metro Stripe Shirt Dress,dress,"XS,S,M,L,XL",Tailored,Cotton poplin,Long sleeves with button cuffs,Stone/black stripe,Work,Collar,,,112
D015,Sage Whisper Tiered Mini,dress,"XS,S,M",Relaxed,Linen blend,Quarter sleeves,Sage green,Everyday,V neck,,,98
D016,Ruby Ruffle One-Shoulder,dress,"XS,S,M,L,XL",Body hugging,Crepe,One-shoulder,Ruby red,Party,One-shoulder,,,165
D017,Coastal Breeze Smock Maxi,dress,"XS,S,M,L,XL",Flowy,Cotton gauze,Sleeveless,Soft teal,Vacation,Square neck,,,118
D018,Graphite Knit Polo Midi,dress,"XS,S,M,L,XL",Stretch to fit,Ribbed jersey,Short sleeves,Charcoal marled,Work,Polo collar,,,105
D019,Lavender Lace Illusion,dress,"XS,S,M,L,XL",Tailored,Lace overlay,Cap sleeves,Lavender,Party,Illusion bateau,,,190
D020,Desert Sunset A-Line,dress,"XS,S,M,L,XL",Relaxed,Tencel twill,Short sleeves,Ombre sunset,Everyday,Round neck,,,110
